Title,Abstract,Document Type,Region / Country,HDP Tags,Thematic Tags,DAC Recommendation,Affiliations,Authors,Publication Year,Language,Link,Rating,Banner,PDF
'Peace' in the Humanitarian-Development-Peace Nexus: Good Practices and Recommendations,"The document, co-financed by the EU, highlights the integration of peace within the Humanitarian-Development-Peace (HDP) nexus, showcasing ten case studies from diverse geographical regions. It addresses challenges and progress since the EU's 2016 commitment to link its humanitarian, development, and peacebuilding efforts.

The countries involved are Iraq, Myanmar, Nigeria, South Sudan, Burundi, Liberia, Somalia, Lebanon, East Africa, and the Sahel region. Recommendations emphasize strategic implementation of the HDP nexus, acknowledging peacebuilding as a full component, and promoting people-centered, conflict-sensitive approaches.

The document advocates for systemic integrations, coordination, and complementarity among stakeholders like CSOs and governments. Flexible, long-term funding and the incorporation of climate change considerations underscore the strategic direction in fostering peace and resilience against violence and instability, aiming for sustainable development outcomes.",Policy Paper,"Burkina Faso,Burundi,Iraq",Peace,"Climate,Peace & Security,Economic Development,Food Security & Nutrition,Protection,Social Cohesion,Displacement & Migration,Governance,Resilience","7. Programming: Align with risk environment,6. Programming: Do no harm,5. Programming: People at the centre,4. Programming: Prioritising prevention,1. Coordination: Joint analysis,2. Coordination: Empowered leadership,10. Financing: Develop evidence-based strategies,11. Financing: Predictable flexible multi-year","Civil Society Dialogue Network, European Peacebuilding Liason Office","Lorenzo Angelini, Summer Brown",2023,English,https://eplo.org/wp-content/uploads/2023/10/EPLO_CSDN-DP_Peace-in-the-HDP-Nexus.pdf,,'Peace' in the Humanitarian-Development-Peace Nexus Good Practices and Recommendations.webp,'Peace' in the Humanitarian-Development-Peace Nexus Good Practices and Recommendations.pdf
'Peace' in the Humanitarian-Development-Peacebuilding Nexus Learning and Practice Note,"The document, produced by the Network for Conflict Prevention and Peacebuilding, provides insights and practical guidance on integrating 'peace' within the Humanitarian-Development-Peacebuilding (HDP) nexus. Focusing on Danish civil society organizations and their international partners, it examines bottom-up peacebuilding approaches which emphasize community-driven conflict resolution, long-term engagement, trust-building, and conflict sensitivity. 

The potential benefits include enhancing humanitarian and development interventions by fostering social cohesion and reducing conflict by empowering local actors and utilizing local resources for peace. Significant barriers are identified, such as short-term funding, siloed funding streams, and misunderstandings around peacebuilding. 

Promising practices include people-centered approaches and strong local partnerships to enable comprehensive context analysis and adaptability. The note serves as a resource for practitioners to operationalize these practices across the HDP nexus globally.",Guide,,"Development,Humanitarian,Peace","Peace & Security,Governance","5. Programming: People at the centre,8. Programming: National and local capacities,11. Financing: Predictable flexible multi-year","CDA Collaborative Learning, Danish Refugee Council (DRC), Network for Conflict Prevention and Peacebuilding",Network for Conflict Prevention and Peacebuilding,2022,English,https://drc.ngo/resources/documents/peace-in-the-humanitarian-development-peacebuilding-nexus-learning-and-practice-note/,,'Peace' in the Humanitarian-Development-Peacebuilding Nexus Learning and Practice Note.webp,'Peace' in the Humanitarian-Development-Peacebuilding Nexus Learning and Practice Note.pdf
2024 Report on Financing Flows and Food Crises,"Annual report (FAO/Global Network Against Food Crises, 2024) providing a comprehensive analysis of humanitarian and development financing flows to food sectors in food crisis countries — the fourth edition of the series and a companion publication to the Global Report on Food Crises (GRFC).

Drawing on data from OECD DAC, IATI, OCHA's Financial Tracking Service and other sources, it maps where funding is going, identifies underfunded and forgotten crises, and tracks trends since 2016. Key findings for 2023: humanitarian assistance to food sectors fell 30% from the 2022 peak; development financing remains overwhelmingly low, with only 3% of global development funding reaching food sectors in crisis contexts; and protracted food crises attract the least development investment despite the greatest structural need.

The report argues that financing continues to address symptoms rather than drivers of food crises, and calls for a rebalancing toward agricultural investment, integrated sequencing of food assistance and nutrition with emergency agriculture, and greater use of evidence in funding decisions. Includes country and regional breakdowns, analysis of the ten largest recipients, sectoral breakdowns, and an overview of GNAFC partner tools for tracking food crisis financing.",Report,"Afghanistan,Democratic Republic of the Congo,Ethiopia,Haiti","Development,Humanitarian","Governance,Recovery,Economic Development,Disaster Risk Reduction,Protection,Social Cohesion,Resilience","7. Programming: Align with risk environment,8. Programming: National and local capacities,10. Financing: Develop evidence-based strategies",Global Network Against Food Crisis,Global Network Against Food Crisis,2024,English,https://www.fightfoodcrises.net/sites/default/files/resource/file/FFFC2024_FINAL.pdf,,2024 Report on Financing Flows and Food Crises.webp,2024 Report on Financing Flows and Food Crises.pdf
A Caritas Europa approach to the Humanitarian-Development-Peace Nexus,"This Caritas Europa position paper presents the organisation's policy positions on the Humanitarian-Development-Peace nexus and its implementation. Building on Caritas Europa's 2024 approach paper to the nexus, this document articulates more specific positions on key policy questions — including the role of faith-based organisations in the nexus, the risks of securitisation, the importance of maintaining humanitarian principles, and recommendations for the EU's nexus policy. It contributes to civil society advocacy for a more principled, effective, and locally-grounded approach to the nexus in EU external action.",Policy Paper,,"Development,Humanitarian,Peace","Governance,Peace & Security,Resilience,Social Cohesion","3. Coordination: Political engagement,5. Programming: People at the centre,6. Programming: Do no harm,9. Programming: Learning and evidence",Caritas Europa,Caritas Europa,2024,English,https://www.caritas.eu/wp-content/uploads/2024/07/240715-CE-Nexus-policy-paper.pdf,,A Caritas Europa approach to the Humanitarian-Development-Peace Nexus.webp,A Caritas Europa approach to the Humanitarian-Development-Peace Nexus.pdf
A Caritas Europa approach to the Humanitarian-Development-Peace Nexus,"The Caritas Europa policy paper explores the Humanitarian-Development-Peace Nexus (Triple Nexus) as a transformative approach to address complex global challenges by integrating development, humanitarian, and peace efforts. Emphasizing local leadership, climate change, and fragile contexts, the paper presents Caritas\'s approach as rooted in Catholic Social Teachings, advocating for the holistic well-being of communities. It highlights the importance of overcoming traditional silos through bottom-up approaches, coordinated programming, and comprehensive stakeholder engagement.

The paper underscores challenges in operationalizing the Nexus, like politicization of aid and the need for clear donor policies, while proposing strategic recommendations for effective implementation. It calls for systematic funding models, strategic cooperation with local civil societies, and flexible, predictable financing to foster inclusive, sustainable development.

Case studies from Ukraine, Colombia, Zambia, Bangladesh, Nigeria, Uganda, and Myanmar highlight the practical application of Nexus principles, showcasing efforts in peacebuilding, climate adaptation, and strengthening local capacities. Ultimately, Caritas Europa advocates for further developing internal strategies, reflecting on the peace and climate components of the Nexus, and increasing collaboration among donors and organizations for a better integrated response to crises.",Policy Paper,"Bangladesh,Colombia","Development,Humanitarian,Peace","Climate,Environment,Economic Development,Livelihoods,Disaster Risk Reduction,Protection,Social Cohesion,Displacement & Migration,Governance,Resilience","8. Programming: National and local capacities,1. Coordination: Joint analysis,11. Financing: Predictable flexible multi-year",Caritas Europe,Caritas Europa,2024,English,https://www.caritas.eu/wp-content/uploads/2024/07/240715-CE-Nexus-policy-paper.pdf,,A Caritas Europa approach to the Humanitarian-Development-Peace Nexus.webp,A Caritas Europa approach to the Humanitarian-Development-Peace Nexus.pdf
A collection of best practices and recommendations for effective nexus delivery,"This document, resulting from Alliance2015's multi-country learning exercise, articulates best practices and recommendations for HDP Nexus programming. It emphasizes the importance of multisector partnerships, community-led interventions, flexible, long-term adaptation, and diversified funding sources to address humanitarian, development, and peace challenges effectively. Case studies from Kenya, Ethiopia, Niger, Malawi, Lebanon, Nepal, and Burkina Faso illustrate successful Nexus approaches in diverse contexts.

Key recommendations highlight contextualized program design, integration of Nexus components throughout the project lifecycle, adaptive management, and inclusive partnerships. The document advocates for strengthening the peace pillar in Nexus initiatives while fostering continual learning and cooperation among Alliance2015 partners to advance these strategies.

Case studies in the annex provide detailed insights into specific country projects that successfully implement Nexus principles.",Evaluation,"Burkina Faso,Chad,Ethiopia","Development,Humanitarian,Peace","Climate,Energy,Environment,Protection,WASH,Disaster Risk Reduction,Livelihoods,Food Security & Nutrition,Social Cohesion,Economic Development,Governance,Resilience","4. Programming: Prioritising prevention,8. Programming: National and local capacities,1. Coordination: Joint analysis,10. Financing: Develop evidence-based strategies,11. Financing: Predictable flexible multi-year","Acted, Ayuda en Accion, CESVI, Concern, Helvetas, People in Need, Welthunger hilfe",Alliance 2015,2024,English,https://www.alliance2015.org/wp-content/uploads/2024/09/202408_-Alliance2015_HDP-Nexus-Best-Practices-Collection-final.pdf,,A collection of best practices and recommendations for effective nexus delivery.webp,A collection of best practices and recommendations for effective nexus delivery.pdf
A Critical Analysis of the War and the Triple Nexus in Northern Mozambique,"Chapter 12 of the Global Policy triple nexus e-book series, this contribution examines triple nexus dynamics in Cabo Delgado, Northern Mozambique — an under-studied context where armed conflict intersects with major extractive industry projects and complex international interests.

The author identifies three distinct conceptions of the triple nexus operating simultaneously: a securitised/militarised nexus driven by counterinsurgency agendas of the Mozambican government and its military partners; a liberal institutional nexus promoted by the UN and IOM through coordination frameworks and localisation rhetoric; and an emerging emancipatory nexus rooted in local civil society and community-led resilience.

The piece argues that without addressing the dominance of security and economic interests, nexus approaches risk serving agendas other than human security, offering an important critical lens for nexus practitioners working in resource-rich fragile contexts.",Blog,Mozambique,"Humanitarian,Development,Peace","Peace & Security,Localisation,Governance,Conflict Sensitivity","6. Programming: Do no harm,8. Programming: National and local capacities",,,2025,English,https://www.globalpolicyjournal.com/blog/10/09/2025/critical-analysis-war-and-triple-nexus-northern-mozambique,,A Critical Analysis of the War and the Triple Nexus in Northern Mozambique.webp,A Critical Analysis of the War and the Triple Nexus in Northern Mozambique.pdf
A Framework for Fragility,"Working paper developing a quantitative framework for measuring and characterising state fragility, drawing on cross-country data to propose operational definitions and indicators across multiple dimensions of fragility. Provides a rigorous analytical tool for understanding which countries face the structural conditions — weak governance, conflict risk, limited institutional capacity — that make nexus approaches both most relevant and most challenging to implement. Contributes to the conceptual and analytical foundations linking fragility measurement to decisions about how donors and multilateral institutions prioritise, sequence and adapt their engagement across the humanitarian, development and peace pillars.",Policy Paper,,"Development,Peace","Governance,Resilience,Policy & Strategy","1. Coordination: Joint analysis,10. Financing: Develop evidence-based strategies",UNU-WIDER (United Nations University World Institute for Development Economics Research),"Joan Margalef, Laura Mayoral, Hannes Mueller, Christopher Rauh",2025,English,https://www.wider.unu.edu/sites/default/files/Publications/Working-paper/PDF/wp2025-58-framework-for-fragility.pdf,,A Framework for Fragility.webp,A Framework for Fragility.pdf
A guide to market-based livelihood interventions for refugees,"This report, published by the International Labour Organization (ILO), outlines a framework for market-based livelihood interventions aimed at supporting refugees.

The report emphasizes the need for a more integrated approach that combines traditional livelihood methods with market system strategies. This involves empowering refugees with the necessary skills (push factors) and aligning market systems to provide opportunities (pull factors) for refugees, while promoting economic inclusion beneficial to both refugees and host communities.

The report considers the legal, social, and economic circumstances governing refugee access to labor markets and provides methodologies for evaluating market systems, targeting interventions, and developing sustainable livelihood strategies. Specific country examples, such as assessments conducted in Costa Rica, Egypt, and South Africa, illustrate the application of these methodologies to various contexts. Successful interventions focus on applying market analyses to identify opportunities for sustainable livelihoods, thus fostering resilience and economic growth among refugees and their host communities.",Report,"Costa Rica,Egypt","Development,Humanitarian","Economic Development,Livelihoods,Displacement & Migration","4. Programming: Prioritising prevention,8. Programming: National and local capacities,10. Financing: Develop evidence-based strategies","ILO, UNHCR",International Labor Organization,2023,English,https://www.unhcr.org/media/guide-market-based-livelihood-interventions-refugees,,A guide to market-based livelihood interventions for refugees.webp,A guide to market-based livelihood interventions for refugees.pdf
A Learning Journey on the Triple Nexus: SDC Synthesis Report,"This Swiss Agency for Development and Cooperation (SDC) synthesis report (January 2022, revised October 2022) documents a 13-month learning journey (August 2020–September 2021) conducted across SDC to develop a shared institutional understanding of the triple nexus and a common way forward. The process included interviews with FDFA staff, senior management, and Swiss NGOs, plus sector dive-in workshops across peace, governance, education, and humanitarian clusters.

Key findings: SDC is already implementing nexus programmes widely but needs to mainstream nexus thinking institutionally; the peace element requires special attention; 'nexus literacy' (cross-pillar knowledge) and adaptive management are critical success factors; and no 'one-size-fits-all' nexus exists. The report proposes concrete action lines around people, processes, and partnerships, several of which were integrated into SDC's 2022 fit-for-purpose restructuring.",Report,,"Humanitarian,Development,Peace","Policy & Strategy,Coordination,Financing","1. Coordination: Joint analysis,9. Programming: Learning and evidence",Swiss Agency for Development and Cooperation (SDC),SDC,2022,English,https://www.sdc-pge.ch/dam/en/sd-web/4X-ViMH3qC4n/PGE-Peace-LearningJourneyTripleNexus-SDC-2022_EN.pdf,,A Learning Journey on the Triple Nexus SDC Synthesis Report.webp,A Learning Journey on the Triple Nexus SDC Synthesis Report.pdf
